id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
anna-s-meetings,Anna's Meetings,Les rendez-vous d’Anna,akerman-chantal,1978-10-09,127,France-Belgium-West Germany,Drama,http://www.imdb.com/title/tt0078152/?ref_=ttrel_rel_tt,WJu-cX26Kqs,Les rendez-vous d'Anna (1978),,1,
from-the-east,From the East,D'Est,akerman-chantal,1993-08-01,107,Belgium-France-Portugal,Documentary,http://www.imdb.com/title/tt0106642/?ref_=ttrel_rel_tt,ogdA5s81uBc,Chantal Akerman D'Est,https://en.wikipedia.org/wiki/D%27Est,1,
autumn-leaves ,Autumn Leaves ,Autumn Leaves ,aldrich-robert,1956-06-01,107,USA,Drama,http://www.imdb.com/title/tt0048967/?ref_=ttrel_rel_tt,,,,0,
interiors_1978,Interiors,Interiors,allen-woody,1978-08-02,93,USA,Drama,http://www.imdb.com/title/tt0077742/?ref_=fn_al_tt_1,2T_dGcXaqFg,Trailer,,1,
another-woman_1988,Another Woman,Another Woman,allen-woody,1988-10-14,84,USA,Drama,http://www.imdb.com/title/tt0094663/?ref_=ttrel_rel_tt,_S4o2pBBFKY,Excerpt - Another Woman (1988),,1,
short-cuts_1993,Short Cuts,Short Cuts,altman-robert,1993-09-04,189,USA,Drama,http://www.imdb.com/title/tt0108122/?ref_=ttrel_rel_tt,YK_PoMY0MOw,Short Cuts - Trailer 1993,,1,
hanoi_tuesday-13th,Hanoi  Tuesday 13th,Hanoi  martes 13,alvarez-santiago,1968-06-01,38,Cuba,Short-Documentary,http://www.imdb.com/title/tt0150818/?ref_=ttrel_rel_tt,mmvxcpN_pxo,PART ONE - Hanoi  Martes 13 (1967) - Santiago Alvarez Ramon,,1,
If_1968,If,If,anderson-lindsay,1968-12-19,111,UK,Drama,http://www.imdb.com/title/tt0063850/?ref_=ttrel_rel_tt,X_68miSOU78,Trailer,https://en.wikipedia.org/wiki/If....,1,
rushmore,Rushmore,Rushmore,anderson-wes,1998-09-17,93,USA,Comedy,http://www.imdb.com/title/tt0128445/?ref_=ttrel_rel_tt,GxCNDpvGyss,Trailer,,1,
landscape-in-the-mist,Landscape in the Mist,Topio stin omichli,angelopoulos-theo,1988-08-31,127,Greece-Italy-France,Drama,http://www.imdb.com/title/tt0096288/?ref_=ttrel_rel_tt,PVTtV5xqgM,Landscape in the Mist - Snowfall Scene,,1,
